rec.version/U/1,rec.eventID/U/1,rec.runID/U/1,rec.timeSliceID/U/1,rec.trigger_flags/U/1,rec.event_flags/U/1,rec.gtc_flags/U/1,rec.gpsSec/U/1,rec.gpsNanosec/U/1,rec.nChTot/U/1,rec.nChAvail/U/1,rec.nHitTot/U/1,rec.nHit/U/1,rec.nHitSP10/U/1,rec.nHitSP20/U/1,rec.nTankTot/U/1,rec.nTankAvail/U/1,rec.nTankHitTot/U/1,rec.nTankHit/U/1,rec.CxPE30PMT/U/1,rec.CxPE40PMT/U/1,rec.CxPE50PMT/U/1,rec.CxPE30XnCh/U/1,rec.CxPE40XnCh/U/1,rec.CxPE50XnCh/U/1,rec.angleFitStatus/U/1,rec.angleFitNdof/U/1,rec.planeFitStatus/U/1,rec.coreFitNdof/U/1,rec.coreFitStatus/U/1,rec.CxPE30/F/0.01,rec.CxPE40/F/0.01,rec.CxPE50/F/0.01,rec.CxPE30SPTime/F/0.1,rec.CxPE40SPTime/F/0.1,rec.CxPE50SPTime/F/0.1,rec.zenithAngle/F/0.0001,rec.azimuthAngle/F/0.0001,rec.dec/F/0.0001,rec.ra/F/0.0001,rec.angleFitChi2/F/0.01,rec.planeZenith/F/0.0001,rec.planeAzimuth/F/0.0001,rec.planeDec/F/0.0001,rec.planeRa/F/0.0001,rec.coreX/F/0.1,rec.coreY/F/0.1,rec.logCoreAmplitude/F/0.1,rec.showerAge/F/0.1,rec.coreFitUnc/F/0.1,rec.coreFitChi2/F/0.01,rec.logMaxPE/F/0.01,rec.logNPE/F/0.01,rec.logEnergy/F/0.01
5,0,2054,1125001,1,0,3,1100001987,625430951,822,813,66,43,30,32,230,228,28,20,394,394,394,27,30,30,0,41,0,40,0,1.81,1.81,1.81,-3.6,-3.6,-3.6,0.6463,0.3085,0.4475,3.0942,384.24,0.8899,0.2277,0.3798,3.3571,92.2,279,2.7,0,0.2,550.47,1.72,2.35,0.85
5,1,2054,1125001,1,0,3,1100001987,625445098,822,816,105,73,16,23,230,230,60,49,656,571,571,3,10,16,0,64,0,63,0,23.61,4.47,4.47,-2.3,-35.3,-35.3,0.3601,1.944,0.6621,2.2407,957.79,0.3537,1.9175,0.6602,2.2547,40.9,229.2,3.6,0,200,2024.53,1.51,2.29,0.85
5,2,2054,1125001,1,0,3,1100001987,625704224,822,815,73,45,35,37,230,230,31,21,117,117,117,23,25,32,0,42,0,41,0,13.58,13.58,13.58,-1,-1,-1,0.0798,2.6068,0.3713,2.3306,404.99,0.0799,2.6248,0.3701,2.3298,-14.5,285.3,3.8,0,0.1,1754.81,1.78,2.7,0.85
5,3,2054,1125001,1,0,3,1100001987,625717231,822,812,107,71,43,49,230,230,44,38,823,823,823,30,38,48,0,68,0,67,0,64.29,64.29,64.29,9.7,9.7,9.7,0.7437,1.5299,1.0741,2.4625,784.08,0.7537,1.5657,1.0852,2.4118,5.2,213.1,4.2,0,36.3,9923.5,2.15,2.73,0.85
5,4,2054,1125001,1,0,3,1100001987,625975739,822,817,141,100,78,80,230,230,54,46,742,742,689,67,73,77,0,98,0,97,0,1.88,1.88,0.97,-6.1,-6.1,8.5,0.1673,2.1151,0.473,2.3073,897.79,0.1568,2.1953,0.457,2.3024,50.6,205.3,4.3,0,0,2154.26,2.8,3.22,0.85
5,5,2054,1125001,1,0,3,1100001987,626108171,822,816,562,367,49,92,230,230,194,180,384,778,778,16,31,45,0,382,0,381,0,349.26,58.78,58.78,-27.6,-16.4,-16.4,0.3257,-2.5947,0.1516,2.1242,6521.6,0.3307,-2.4646,0.1157,2.1466,45,324.7,5.1,0,2.3,64650.6,2.96,3.64,0.85
5,6,2054,1125001,1,0,3,1100001987,626140458,822,818,155,135,86,101,230,230,85,78,859,859,859,13,26,39,0,129,0,128,0,28.73,28.73,28.73,2.7,2.7,2.7,0.717,1.1972,0.9681,2.8411,1195.73,0.7177,1.19,0.9657,2.8485,-28.8,244.4,4.1,0,50.3,2495.41,1.8,2.68,0.85
5,7,2054,1125001,1,4,3,1100001987,626316565,822,810,152,112,45,67,230,229,73,64,804,804,804,9,19,29,0,108,0,107,0,24.45,24.45,24.45,-4.5,-4.5,-4.5,0.2106,1.3503,0.5365,2.4575,1319.41,0.0903,1.4528,0.4211,2.4159,69.3,240.6,4.1,0,62.5,2974.42,1.58,2.67,0.85
5,8,2054,1125001,1,0,3,1100001987,626340909,822,818,98,65,28,36,230,230,50,42,78,78,588,15,18,33,0,62,0,61,0,5.92,5.92,4.47,25.4,25.4,4,0.3933,1.2516,0.7005,2.5622,815.19,0.389,1.2263,0.6927,2.5715,86.5,233.6,3.5,0,1.6,3125.89,1.67,2.42,0.85
5,9,2054,1125001,1,0,3,1100001987,626430233,822,805,78,37,13,20,230,230,37,27,285,285,285,3,10,16,0,33,0,32,0,7.11,7.11,7.11,6.5,6.5,6.5,0.4913,-0.0787,0.2546,2.9118,438.58,0.4618,-0.0485000000000002,0.2743,2.8849,32.1,237.9,3.2,0,200,129.87,0.85,1.79,0.85
